gw-esz-s9504-2	10.2.34.113
gw-stip-s4500x-1	10.125.0.193
gw-stip-s4500x-2	10.125.0.194
GW-SVC-CTC-S4500X-1	10.125.0.96
gw-temp-camp-core-sw1(FDO21250HW9)	10.2.42.60
GW-TOR02-14-S93108-2	10.2.42.20
GW-TOR02-15-S93180-1	10.2.42.32
GW-TOR02-16-S93180-1	10.2.42.34
GW-TOR02-16-S93180-2	10.2.42.35
gw-tor03-07-s93180-1	10.2.42.55
gw-tor03-07-s93180-2	10.2.42.56
gw-tor03-08-s93180-1	10.2.42.51
gw-tor03-08-s93180-2	10.2.42.52
gw-tor03-13-s93180-1	10.2.42.53
gw-tor03-13-s93180-2	10.2.42.54
GW-TOR04-02-SW-1	10.2.42.78
GW-TOR04-16-SW-1	10.2.42.80
gw-tor-ea19-s93180-1	10.2.42.37
GW-TOR-EA19-S93180-2(FDO21211AQG)	10.2.42.38
GW-TOR-EB19-S93180-1(FDO21211QNV)	10.2.42.39
GW-TOR-EB19-S93180-2(FDO21211B3K)	10.2.42.40
GW-TORS2-04-s93108-1	10.2.42.45
GW-TORS2-04-s93108-2	10.2.42.46
gw-tors3-04-s9108-2	10.2.42.44
GW-TORS3-04-s93108-1	10.2.42.43
GW-VBK1-CTC-NX5596-1	10.127.0.10
GW-VBK1-CTC-NX5596-2	10.127.0.11
GW-VBK1-CTC-S3560-1	10.127.0.1
GW-VBK1-CTC-S3560-2	10.127.0.3
GW-WAN-CTC-ASR1006-1	10.16.3.30
GW-WAN-CTC-ASR1006-2	10.16.3.6
wdc-3pty-isr3945e-1	10.17.119.157
wdc-3pty-isr3945e-2	10.17.119.158
WDC-ACC-CTC-NX5596-1	10.17.119.50
WDC-ACC-CTC-NX5596-2	10.17.119.51
WDC-ACC-CTC-NX5596-3	10.17.119.58
WDC-ACC-CTC-NX5596-4	10.17.119.59
WDC-AGG-CTC-NX7010-1	10.16.0.35
wdc-agg-ctc-nx7010-2	10.17.119.16
WDC-AGG-INFRA-1	10.17.4.1
WDC-AGG-INFRA-2	10.17.5.30
WDC-COR-CTC-ADMIN-NX7010-2	10.16.1.222
WDC-CORE-CTC-ADMIN-NX7010-1	10.16.1.81
wdc-cr-core-rtr-1	10.16.20.28
wdc-cr-core-rtr-2	10.16.20.32
wdc-cr-core-sw-1	10.17.5.17
wdc-cr-core-sw-2	10.16.1.86
wdc-cr-inet-rtr-1	10.17.119.181
wdc-cr-inet-rtr-2	10.17.119.182
wdc-cr-inet-sw-1	10.16.21.37
wdc-cr-inet-sw-2	10.16.21.29
WDC-DMZ-NX3048-1	10.17.42.126
WDC-DMZ-NX3048-2	10.17.42.127
WDC-DMZ-NX93180-1	10.17.42.108
WDC-DMZ-NX93180-2	10.17.42.109
WDC-DMZ-NX93180-3	10.17.42.116
WDC-DMZ-NX93180-4	10.17.42.117
WDC-DMZ-NX93180-5	10.17.42.118
WDC-DMZ-NX93180-6	10.17.42.119
WDC-DMZ-NX93180-7	10.17.42.112
WDC-DMZ-NX93180-8	10.17.42.113
WDC-DMZ-NX9332-1	10.17.2.49
WDC-DMZ-NX9332-2	10.17.2.6
WDC-ESZ-NX3048-1	10.17.34.114
WDC-ESZ-NX3048-2	10.17.34.115
